[2026-07-23 19:56:11.039] [INFO] === INITIATING ECU WRITE TASK: type=calibration, auto_backup=False, dry_run=False ===
[2026-07-23 19:56:11.039] [INFO] Pre-Write Validation: Real-time System Voltage Vbat = 12.60V
[2026-07-23 19:56:11.040] [INFO] Loaded standard binary file (Read-Only): /Users/ferdyvalentino/Downloads/VARIO 125 - K60A-B01-11000 1.bin (393216 bytes)
[2026-07-23 19:56:11.040] [INFO] Raw Source File on Disk: CRC32=E67E9215, MD5=56ff0b13424c38ff3ff35847e5114bf2, Size=393216 bytes
[2026-07-23 19:56:11.042] [INFO] Prepared Transmission Copy Buffer (Honda Checksum Embedded): CRC32=84A38FCA, MD5=78ba5f324362028de413ff7d54abe8d2, Size=393216 bytes
[2026-07-23 19:56:11.042] [INFO] Handshake 0x7D [Init Mode Step 1] | TX: 7D010100 | RX: 7E0100
[2026-07-23 19:56:11.042] [INFO] Handshake 0x7D [Init Mode Step 2] | TX: 7D010101 | RX: 7E0100
[2026-07-23 19:56:11.042] [INFO] Handshake 0x7D [Init Mode Step 3] | TX: 7D010102 | RX: 7E0100
[2026-07-23 19:56:11.042] [INFO] Handshake 0x7D [Init Mode Step 4] | TX: 7D010103 | RX: 7E0100
[2026-07-23 19:56:11.042] [INFO] Handshake 0x7D [Init Header PGM] | TX: 7D010250474D | RX: 7E0100
[2026-07-23 19:56:11.042] [INFO] Handshake 0x7D [Init Header -FI] | TX: 7D01032D4649 | RX: 7E0100
[2026-07-23 19:56:11.042] [INFO] Handshake 0x7E [Session Control 0x00] | TX: 7E010100 | RX: 7E0100
[2026-07-23 19:56:11.042] [INFO] Handshake 0x7E [Read Status 0x02] | TX: 7E0102 | RX: 7E0100
[2026-07-23 19:56:11.042] [INFO] Handshake 0x7E [Request Seed] | TX: 7E01030000 | RX: 7E0100
[2026-07-23 19:56:11.042] [INFO] Handshake 0x7E [Session Control 0x00] | TX: 7E010100 | RX: 7E0100
[2026-07-23 19:56:11.042] [INFO] Handshake 0x7E [Send Security Key (Passcode)] | TX: 7E010B48656C6C6F48 | RX: 7E0100
[2026-07-23 19:56:11.042] [INFO] Handshake 0x7E [Session Control 0x00] | TX: 7E010100 | RX: 7E0100
[2026-07-23 19:56:11.042] [INFO] Handshake 0x7E [Set Write Range 0x0190] | TX: 7E010E0190 | RX: 7E0100
[2026-07-23 19:56:11.042] [INFO] Handshake 0x7E [Flash Erase Command] | TX: 7E010101 | RX: 7E0100
[2026-07-23 19:56:11.042] [INFO] Handshake 0x7E [Erase Sector Confirm] | TX: 7E0104FF | RX: 7E0100
[2026-07-23 19:56:11.042] [INFO] Handshake 0x7E [Verify Erase State] | TX: 7E010100 | RX: 7E0100
[2026-07-23 19:56:11.042] [INFO] Erase & Security Access Handshake Completed. Waiting 10s for Flash Sector Erase completion...
